experiment_id,participant_id,is_choice_trial,is_attention_check,rt,response,correct_key,correct,trial_number,block_index,old_trial,memorability_bin,encoding_trial,delay,old_side,old_value,left_image_name,left_image_path,left_memorability,left_value,left_is_old,right_image_name,right_image_path,right_memorability,right_value,right_is_old,chosen_side,chosen_image_name,chosen_image_path,chosen_value,reward,repeat_source_was_chosen,response_key,choice_missed,old_chosen,optimal_old_choice,final_bonus
episodic_choice_v3,699ca75f99675d449c667b41,True,,1031.0,k,,,1.0,1.0,0.0,low,,,,,bandage_09s.jpg,../../stimuli/images/bandage_09s.jpg,0.609756,0.0,False,hotplate_12s.jpg,../../stimuli/images/hotplate_12s.jpg,0.581395,0.0,False,right,hotplate_12s.jpg,../../stimuli/images/hotplate_12s.jpg,0.0,0.0,,k,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,925.0,j,,,2.0,1.0,0.0,mid,,,,,dynamite_07s.jpg,../../stimuli/images/dynamite_07s.jpg,0.794872,1.0,False,pinecone_06s.jpg,../../stimuli/images/pinecone_06s.jpg,0.794872,1.0,False,left,dynamite_07s.jpg,../../stimuli/images/dynamite_07s.jpg,1.0,1.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,925.0,k,,,3.0,1.0,0.0,high,,,,,grass_05s.jpg,../../stimuli/images/grass_05s.jpg,0.925,1.0,False,beard_11s.jpg,../../stimuli/images/beard_11s.jpg,0.975,1.0,False,right,beard_11s.jpg,../../stimuli/images/beard_11s.jpg,1.0,1.0,,k,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,818.0,j,,,4.0,1.0,0.0,low,,,,,nut_07s.jpg,../../stimuli/images/nut_07s.jpg,0.534884,0.0,False,radish_01b.jpg,../../stimuli/images/radish_01b.jpg,0.6,0.0,False,left,nut_07s.jpg,../../stimuli/images/nut_07s.jpg,0.0,0.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,756.0,j,,,5.0,1.0,0.0,high,,,,,springboard_13s.jpg,../../stimuli/images/springboard_13s.jpg,0.976744,1.0,False,parfait_15s.jpg,../../stimuli/images/parfait_15s.jpg,0.973684,1.0,False,left,springboard_13s.jpg,../../stimuli/images/springboard_13s.jpg,1.0,1.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,650.0,j,,,6.0,1.0,0.0,mid,,,,,cymbal_06s.jpg,../../stimuli/images/cymbal_06s.jpg,0.8,0.0,False,slipper_06s.jpg,../../stimuli/images/slipper_06s.jpg,0.795455,0.0,False,left,cymbal_06s.jpg,../../stimuli/images/cymbal_06s.jpg,0.0,0.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,778.0,k,,,7.0,1.0,0.0,high,,,,,doorknocker_24s.jpg,../../stimuli/images/doorknocker_24s.jpg,0.95,1.0,False,crayon_09s.jpg,../../stimuli/images/crayon_09s.jpg,0.975,1.0,False,right,crayon_09s.jpg,../../stimuli/images/crayon_09s.jpg,1.0,1.0,,k,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,581.0,j,,,8.0,1.0,0.0,mid,,,,,mouth_01b.jpg,../../stimuli/images/mouth_01b.jpg,0.794872,0.0,False,cannonball_05s.jpg,../../stimuli/images/cannonball_05s.jpg,0.794872,0.0,False,left,mouth_01b.jpg,../../stimuli/images/mouth_01b.jpg,0.0,0.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,537.0,k,,,9.0,1.0,0.0,low,,,,,outfit_03s.jpg,../../stimuli/images/outfit_03s.jpg,0.512821,0.0,False,sundae_12s.jpg,../../stimuli/images/sundae_12s.jpg,0.634146,0.0,False,right,sundae_12s.jpg,../../stimuli/images/sundae_12s.jpg,0.0,0.0,,k,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,388.0,j,,,10.0,1.0,1.0,high,3.0,7.0,left,1.0,beard_11s.jpg,../../stimuli/images/beard_11s.jpg,0.975,1.0,True,margarita_11s.jpg,../../stimuli/images/margarita_11s.jpg,0.95122,1.0,False,left,beard_11s.jpg,../../stimuli/images/beard_11s.jpg,1.0,1.0,True,j,False,1.0,1.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,1155.0,j,,,11.0,1.0,0.0,mid,,,,,pocketknife_11s.jpg,../../stimuli/images/pocketknife_11s.jpg,0.794872,1.0,False,spark_plug_04s.jpg,../../stimuli/images/spark_plug_04s.jpg,0.795455,1.0,False,left,pocketknife_11s.jpg,../../stimuli/images/pocketknife_11s.jpg,1.0,1.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,732.0,j,,,12.0,1.0,1.0,low,4.0,8.0,right,0.0,milk_07s.jpg,../../stimuli/images/milk_07s.jpg,0.564103,0.0,False,nut_07s.jpg,../../stimuli/images/nut_07s.jpg,0.534884,0.0,True,left,milk_07s.jpg,../../stimuli/images/milk_07s.jpg,0.0,0.0,True,j,False,0.0,1.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,1448.0,k,,,13.0,1.0,1.0,mid,6.0,7.0,left,0.0,cymbal_06s.jpg,../../stimuli/images/cymbal_06s.jpg,0.8,0.0,True,burner_06s.jpg,../../stimuli/images/burner_06s.jpg,0.794872,0.0,False,right,burner_06s.jpg,../../stimuli/images/burner_06s.jpg,0.0,0.0,True,k,False,0.0,1.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,,,,,14.0,1.0,0.0,high,,,,,mulberry_03s.jpg,../../stimuli/images/mulberry_03s.jpg,0.97561,0.0,False,leek_02s.jpg,../../stimuli/images/leek_02s.jpg,0.930233,0.0,False,,,,,0.0,,,True,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,1582.0,j,,,15.0,1.0,1.0,low,1.0,14.0,right,0.0,lemon_05s.jpg,../../stimuli/images/lemon_05s.jpg,0.625,1.0,False,hotplate_12s.jpg,../../stimuli/images/hotplate_12s.jpg,0.581395,0.0,True,left,lemon_05s.jpg,../../stimuli/images/lemon_05s.jpg,1.0,1.0,True,j,False,0.0,1.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,,,,,16.0,1.0,1.0,high,5.0,11.0,right,1.0,joystick_09s.jpg,../../stimuli/images/joystick_09s.jpg,0.952381,0.0,False,springboard_13s.jpg,../../stimuli/images/springboard_13s.jpg,0.976744,1.0,True,,,,,1.0,True,,True,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,1185.0,j,,,17.0,1.0,1.0,mid,2.0,15.0,right,1.0,trident_06s.jpg,../../stimuli/images/trident_06s.jpg,0.794872,1.0,False,dynamite_07s.jpg,../../stimuli/images/dynamite_07s.jpg,0.794872,1.0,True,left,trident_06s.jpg,../../stimuli/images/trident_06s.jpg,1.0,1.0,True,j,False,0.0,0.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,635.0,j,,,18.0,1.0,0.0,low,,,,,groundhog_12n.jpg,../../stimuli/images/groundhog_12n.jpg,0.526316,1.0,False,oven_13s.jpg,../../stimuli/images/oven_13s.jpg,0.585366,1.0,False,left,groundhog_12n.jpg,../../stimuli/images/groundhog_12n.jpg,1.0,1.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,646.0,j,,,19.0,1.0,0.0,low,,,,,fountain_pen_09s.jpg,../../stimuli/images/fountain_pen_09s.jpg,0.589744,0.0,False,grape_06s.jpg,../../stimuli/images/grape_06s.jpg,0.625,0.0,False,left,fountain_pen_09s.jpg,../../stimuli/images/fountain_pen_09s.jpg,0.0,0.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,1107.0,k,,,20.0,1.0,1.0,mid,11.0,9.0,right,1.0,licorice_08s.jpg,../../stimuli/images/licorice_08s.jpg,0.794872,0.0,False,pocketknife_11s.jpg,../../stimuli/images/pocketknife_11s.jpg,0.794872,1.0,True,right,pocketknife_11s.jpg,../../stimuli/images/pocketknife_11s.jpg,1.0,1.0,True,k,False,1.0,1.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,924.0,j,,,21.0,1.0,1.0,high,7.0,14.0,right,1.0,screwdriver_08s.jpg,../../stimuli/images/screwdriver_08s.jpg,0.95122,1.0,False,crayon_09s.jpg,../../stimuli/images/crayon_09s.jpg,0.975,1.0,True,left,screwdriver_08s.jpg,../../stimuli/images/screwdriver_08s.jpg,1.0,1.0,True,j,False,0.0,0.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,,,,,22.0,1.0,1.0,mid,8.0,14.0,left,0.0,mouth_01b.jpg,../../stimuli/images/mouth_01b.jpg,0.794872,0.0,True,flipper_10s.jpg,../../stimuli/images/flipper_10s.jpg,0.794872,1.0,False,,,,,1.0,True,,True,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,,,,,23.0,1.0,1.0,high,14.0,9.0,left,0.0,mulberry_03s.jpg,../../stimuli/images/mulberry_03s.jpg,0.97561,0.0,True,fudge_02s.jpg,../../stimuli/images/fudge_02s.jpg,0.95,0.0,False,,,,,0.0,True,,True,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,,,,,24.0,1.0,1.0,low,9.0,15.0,left,0.0,sundae_12s.jpg,../../stimuli/images/sundae_12s.jpg,0.634146,0.0,True,jukebox_05s.jpg,../../stimuli/images/jukebox_05s.jpg,0.525,1.0,False,,,,,0.0,True,,True,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,540.0,k,,,25.0,1.0,0.0,mid,,,,,pitchfork_01b.jpg,../../stimuli/images/pitchfork_01b.jpg,0.795455,0.0,False,dandelion_01s.jpg,../../stimuli/images/dandelion_01s.jpg,0.794872,0.0,False,right,dandelion_01s.jpg,../../stimuli/images/dandelion_01s.jpg,0.0,0.0,,k,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,1111.0,j,,,26.0,1.0,1.0,low,18.0,8.0,right,1.0,scooter_02s.jpg,../../stimuli/images/scooter_02s.jpg,0.525,1.0,False,groundhog_12n.jpg,../../stimuli/images/groundhog_12n.jpg,0.526316,1.0,True,left,scooter_02s.jpg,../../stimuli/images/scooter_02s.jpg,1.0,1.0,True,j,False,0.0,0.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,784.0,j,,,27.0,1.0,0.0,high,,,,,test_tube_01b.jpg,../../stimuli/images/test_tube_01b.jpg,0.973684,1.0,False,cornucopia_11s.jpg,../../stimuli/images/cornucopia_11s.jpg,0.925,1.0,False,left,test_tube_01b.jpg,../../stimuli/images/test_tube_01b.jpg,1.0,1.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,796.0,j,,,28.0,1.0,0.0,low,,,,,anvil_13n.jpg,../../stimuli/images/anvil_13n.jpg,0.553306,1.0,False,webcam_03s.jpg,../../stimuli/images/webcam_03s.jpg,0.461538,1.0,False,left,anvil_13n.jpg,../../stimuli/images/anvil_13n.jpg,1.0,1.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,1085.0,k,,,29.0,1.0,0.0,mid,,,,,yak_09s.jpg,../../stimuli/images/yak_09s.jpg,0.794872,0.0,False,foot_01b.jpg,../../stimuli/images/foot_01b.jpg,0.8,0.0,False,right,foot_01b.jpg,../../stimuli/images/foot_01b.jpg,0.0,0.0,,k,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,695.0,j,,,30.0,1.0,0.0,high,,,,,throne_08s.jpg,../../stimuli/images/throne_08s.jpg,0.948718,0.0,False,chainsaw_05s.jpg,../../stimuli/images/chainsaw_05s.jpg,0.928571,0.0,False,left,throne_08s.jpg,../../stimuli/images/throne_08s.jpg,0.0,0.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,681.0,j,,,31.0,1.0,0.0,high,,,,,ice_cream_06s.jpg,../../stimuli/images/ice_cream_06s.jpg,0.95122,1.0,False,apple_01b.jpg,../../stimuli/images/apple_01b.jpg,0.952381,1.0,False,left,ice_cream_06s.jpg,../../stimuli/images/ice_cream_06s.jpg,1.0,1.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,543.0,j,,,32.0,1.0,1.0,low,19.0,13.0,right,0.0,banjo_16s.jpg,../../stimuli/images/banjo_16s.jpg,0.55,1.0,False,fountain_pen_09s.jpg,../../stimuli/images/fountain_pen_09s.jpg,0.589744,0.0,True,left,banjo_16s.jpg,../../stimuli/images/banjo_16s.jpg,1.0,1.0,True,j,False,0.0,1.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,628.0,j,,,33.0,1.0,1.0,mid,25.0,8.0,left,0.0,dandelion_01s.jpg,../../stimuli/images/dandelion_01s.jpg,0.794872,0.0,True,stretcher_04s.jpg,../../stimuli/images/stretcher_04s.jpg,0.794872,1.0,False,left,dandelion_01s.jpg,../../stimuli/images/dandelion_01s.jpg,0.0,0.0,True,j,False,1.0,0.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,402.0,k,,,34.0,1.0,0.0,mid,,,,,chandelier_07s.jpg,../../stimuli/images/chandelier_07s.jpg,0.794872,1.0,False,trombone_14s.jpg,../../stimuli/images/trombone_14s.jpg,0.794872,1.0,False,right,trombone_14s.jpg,../../stimuli/images/trombone_14s.jpg,1.0,1.0,,k,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,762.0,j,,,35.0,1.0,0.0,low,,,,,soldering_iron_08s.jpg,../../stimuli/images/soldering_iron_08s.jpg,0.452381,0.0,False,coral_07s.jpg,../../stimuli/images/coral_07s.jpg,0.512195,0.0,False,left,soldering_iron_08s.jpg,../../stimuli/images/soldering_iron_08s.jpg,0.0,0.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,774.0,k,,,36.0,1.0,0.0,high,,,,,inhaler_04s.jpg,../../stimuli/images/inhaler_04s.jpg,0.95,1.0,False,cantaloupe_09s.jpg,../../stimuli/images/cantaloupe_09s.jpg,0.952381,1.0,False,right,cantaloupe_09s.jpg,../../stimuli/images/cantaloupe_09s.jpg,1.0,1.0,,k,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,,,,,37.0,1.0,1.0,mid,29.0,8.0,right,0.0,crepe_16s.jpg,../../stimuli/images/crepe_16s.jpg,0.794872,0.0,False,foot_01b.jpg,../../stimuli/images/foot_01b.jpg,0.8,0.0,True,,,,,0.0,True,,True,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,1965.0,j,,,38.0,1.0,1.0,high,30.0,8.0,left,0.0,throne_08s.jpg,../../stimuli/images/throne_08s.jpg,0.948718,0.0,True,potato_07s.jpg,../../stimuli/images/potato_07s.jpg,0.95122,0.0,False,left,throne_08s.jpg,../../stimuli/images/throne_08s.jpg,0.0,0.0,True,j,False,1.0,0.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,523.0,j,,,39.0,1.0,0.0,low,,,,,eyedropper_05s.jpg,../../stimuli/images/eyedropper_05s.jpg,0.609756,1.0,False,bulldozer_06s.jpg,../../stimuli/images/bulldozer_06s.jpg,0.536585,1.0,False,left,eyedropper_05s.jpg,../../stimuli/images/eyedropper_05s.jpg,1.0,1.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,742.0,j,,,40.0,1.0,1.0,high,27.0,13.0,right,1.0,cocktail_01b.jpg,../../stimuli/images/cocktail_01b.jpg,0.923077,1.0,False,test_tube_01b.jpg,../../stimuli/images/test_tube_01b.jpg,0.973684,1.0,True,left,cocktail_01b.jpg,../../stimuli/images/cocktail_01b.jpg,1.0,1.0,True,j,False,0.0,0.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,1296.0,j,,,41.0,1.0,1.0,mid,34.0,7.0,right,1.0,triangle_10s.jpg,../../stimuli/images/triangle_10s.jpg,0.8,0.0,False,trombone_14s.jpg,../../stimuli/images/trombone_14s.jpg,0.794872,1.0,True,left,triangle_10s.jpg,../../stimuli/images/triangle_10s.jpg,0.0,0.0,True,j,False,0.0,0.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,1366.0,k,,,42.0,1.0,1.0,low,28.0,14.0,left,1.0,anvil_13n.jpg,../../stimuli/images/anvil_13n.jpg,0.553306,1.0,True,screen1_03s.jpg,../../stimuli/images/screen1_03s.jpg,0.538462,0.0,False,right,screen1_03s.jpg,../../stimuli/images/screen1_03s.jpg,0.0,0.0,True,k,False,0.0,0.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,656.0,j,,,43.0,1.0,1.0,high,31.0,12.0,left,1.0,ice_cream_06s.jpg,../../stimuli/images/ice_cream_06s.jpg,0.95122,1.0,True,visor_08s.jpg,../../stimuli/images/visor_08s.jpg,0.97561,0.0,False,left,ice_cream_06s.jpg,../../stimuli/images/ice_cream_06s.jpg,1.0,1.0,True,j,False,1.0,1.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,790.0,k,,,44.0,1.0,1.0,low,35.0,9.0,right,0.0,sawhorse_02s.jpg,../../stimuli/images/sawhorse_02s.jpg,0.536585,1.0,False,soldering_iron_08s.jpg,../../stimuli/images/soldering_iron_08s.jpg,0.452381,0.0,True,right,soldering_iron_08s.jpg,../../stimuli/images/soldering_iron_08s.jpg,0.0,0.0,True,k,False,1.0,0.0,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,451.0,j,,,45.0,1.0,0.0,mid,,,,,counter_07s.jpg,../../stimuli/images/counter_07s.jpg,0.794872,0.0,False,shredder_14s.jpg,../../stimuli/images/shredder_14s.jpg,0.794872,0.0,False,left,counter_07s.jpg,../../stimuli/images/counter_07s.jpg,0.0,0.0,,j,False,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,True,,,,,,46.0,1.0,1.0,low,39.0,7.0,left,1.0,eyedropper_05s.jpg,../../stimuli/images/eyedropper_05s.jpg,0.609756,1.0,True,seaweed_05s.jpg,../../stimuli/images/seaweed_05s.jpg,0.487805,1.0,False,,,,,1.0,True,,True,,,0.8
episodic_choice_v3,699ca75f99675d449c667b41,,True,2023.0,j,r,False,,,,,,,,,,,,,,,,,,,,,,,,,j,,,,0.8
